Rate Plan	Pws cost	New Cost
Fletcher Jones (Marathon) VZW :: Public Static :: 40GB	192	97.05
Fresenius ATT 1GB Demo	8	
Valois McGaha (Marathon) VZW :: Public Static :: 40GB	192	97.05
AkerWade ATT 1GB Demo	8	
AkerWade VF 10MB	1.94	
AkerWade SWI 1MB	0.28	
Lite Construction VZW Public Dynamic 40GB	192	97.05
Marathon Coach-VZW-PUBS-40GB	192	97.05
Elizabeth Casto-VZW-PUBS-40GB	192	97.05
John Bollier (Marathon)-VZW-PUBS-40GB	192	97.05
Datawrx ATT 250MB	5.5	
Green Development-VZW-PUBS-40GB	192	97.05
Arctic ATT 300MB	6	
Neil Hurley-VZW-PUBD-50GB	200.25	121.25
Worksite Labs-VZW-DIA-50GB	200.25	121.25
ioCurrent ATT 50MB	3.5	
ioCurrent ATT 1GB	8	
ioCurrents VDF 1GB Demo	125	
ioCurrents VDF 100MB	16	
Monument Construction-VZW-PUBD-50GB	200.25	121.25
Doordash Demo VF	45	
Dubak Electrical Group-VZW-PUBD-50GB	200.25	121.25
Baywood Gas Mart-VZW-PUBD-50GB	200.25	121.25
Worksite Labs-VZW-PUBD-50GB	200.25	121.25
Trinity Property Consultants-VZW-PUBD-50GB	200.25	121.25
"Trinet Construction, Inc-VZW-DIA-50GB"	200.25	121.25
Remprex LLC-VZW-PUBS-50GB	200.25	121.25
DOR VZW 30GB DIA	144	72.85
Cybertools :: VZWPublicStatic :: 30GB	144	72.85
Elite Interactive-VZW-PUBS-30GB	144	72.85
Council Rock ATT Demo :: dc1a4de6-08f8-47fc-b72a-09e635411a10	5.5	
Council Rock SWI Demo :: 328d15f6-9414-4dd9-87c0-b59f1a556e37	20.2	
Mike Cosentino (Marathon)-VZW-PUBS-40GB	160.25	97.05
Danfoss ATT Demo	8	
Ron Chilton (Marathon)-VZW-PUBS-40GB	160.25	97.05
"Jet Motor Coach, LLC-VZW-PUBS-40GB"	160.25	97.05
Clevest_ATT_5MB	3.05	
Clevest AT&T 250MB	5.5	
John Riley (Marathon)-VZW-PUBS-40GB	160.25	97.05
Producers Dairy Foods-VZW-PUBS-40GB	160.25	97.05
Joseph Zehr-VZW-PUBS-40GB	160.25	97.05
Truform_Demo_VZW :: 5cc51800-4c55-41c9-85c1-fbc86bd3f0a0	120	60.75
Virtual Guard :: VZWPublic :: (716) :: 25 GB	120	60.75
Aperiatech VF 15MB	2.79	
Ventek VF Demo	0.75	
Embark-VZW-PUBS-25GB	120	60.75
Couch Distributing VZW :: Public Static :: 25GB	120	60.75
Virtual Guard-VZW-PUBS-25GB	120	60.75
Pioneer Fire Inc-VZW-PUBD-35GB	140.25	84.95
Hornblower Group-VZW-PUBS-35GB	140.25	84.95
Jolly Road VZW 20GB :: e5ee0b1f-7e0d-4308-a74b-b6efd839f157	96	48.65
Tetratech :: VZWPublic :: 20 GB	96	48.65
LAUSD ERATE VZW 20GB :: e7a87b29-5dc4-437e-a51e-884d6589594e	96	48.65
LAUSD VZW 20GB :: 392a7a3c-d140-4ed0-96ec-3d3182034098	96	48.65
Nebbiolo Demo	0.75	
ICU Tech VZW Demo :: ac300bfe-69f6-4de8-89e6-9116d121e7b3	96	48.65
Greenlots :: VZWPublic :: (639) :: 20 GB :: f48af63e-0b05-449c-a3ee-dca16101ef8d	96	48.65
NexRev ATT 500MB	8	
Inform VF 30MB	0.75	
Harbor Wholesale ATT 300MB	6	
ALL COAST :: VZWPublic :: (371) :: 20 GB	96	48.65
CHILESANDCO :: VZWPublic :: (438) :: 20 GB	96	48.65
TCS VF 100MB	17.24	
DEACON350 :: VZWPublic :: (376) :: 0 Bytes	96	48.65
DELTA LIQUID :: VZWPublic :: (421) :: 20 GB	96	48.65
EAGLEEYEPRODUCE :: VZWPublic :: (11) :: 20 GB	96	48.65
FARWESTRESTAURANT :: VZWPublic :: (167) :: 20 GB	96	48.65
ISERVGROUP :: VZWPublic :: (162) :: 20 GB	96	48.65
LAKESIDE :: VZWPublic :: (117) :: 20 GB	96	48.65
ORTHOSCAN :: VZWPublic :: (441) :: 20 GB	96	48.65
SPORTSPILOT :: VZWPublic :: (97) :: 20 GB	96	48.65
Corporate IT Solutions :: VZWPublic :: (259) :: 20 GB	96	48.65
Kelvin ATT 2GB	23	
LAUSD (E-Rate) :: VZWPublic :: (314) :: 20 GB	96	48.65
Foothill VZW 20GB :: 2249e8da-8835-4de2-9fc4-281195c29518	96	48.65
REPERTOIRE :: VZWPublic :: (573) :: 20 GB	96	48.65
DEACON54003 :: VZWPublic :: (574) :: 20 GB	96	48.65
OtoSense VZW 20GB :: a6e88d46-c0a7-4b98-bff8-c24829aade92	96	48.65
Voltus VF 100MB	8	
Voltus TMO Demo :: 8535c4f8-df2d-4540-b83a-62f3651e70ec	7	
Voltus Telus 100Mb	7.5	
ASI SIGNAGE :: VZWPublic :: (594) :: 20 GB	96	48.65
Cedar Grove Composting :: VZWPublic :: (615) :: 20 GB	96	48.65
DEACON85004-2 :: VZWPublic :: (623) :: 20 GB	96	48.65
DMG-CREO-VZW-PUBS-20GB :: e1cb1edf-804a-49e7-a8fc-04d084c5f5d4	96	48.65
Scotty Labs :: VZWPublic :: (671) :: 20 GB	96	48.65
Postmates X :: VZWPublicDynamic :: (629) :: 20 GB	96	48.65
LAUSD (public) :: VZWPublic :: (150) :: 20 GB	96	48.65
BCYCLE TMO DIA 1GB DEMO	7	
"64KT 8me, LLC :: VZWPublic :: (654) :: 20 GB"	96	48.65
Music & Arts Corporate Headquarters :: VZWPublic :: (559) :: 20 GB	96	48.65
Augmedix VZW 20GB :: d4574ef6-9a5a-4046-b640-582734696484	96	48.65
SensoScientific-ATT-DIA-25MB	3.25	
Bandit :: VZWPublic :: (738) :: 20 GB	96	48.65
Brower ATT Demo	3.05	
