"PwsAccountNumberName","CustomerID","DateCreated","DatePosted","DateDue","Terms","BillTo","ShipTo","WebLink","FooterMemo","CustomerReference","ReferenceNumber","BillingPeriod","Element","Quantity","Rate","Amount","Memo","Class","AccountLabel"
"81838150-218091:CLARIONHOTEL","C-0247","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Clarion Hotel Seattle Airport","SVCS_Clarion Hotel Seattle Airport","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW 25 MB MRC","1.0","9.00","9.0","Public Network: 2020/06/01 - 2020/06/30","VZW_742006538_PUB--Verizon Public","41102"
"81838150-218091:CLARIONHOTEL","C-0247","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Clarion Hotel Seattle Airport","SVCS_Clarion Hotel Seattle Airport","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW SCHG-FEE","1","0.179","0.179","Public Network: 2020/06/01 - 2020/06/30","VZW_742006538_PUB--Verizon Public","41104"
"81838150-218091:CLARIONHOTEL","C-0247","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Clarion Hotel Seattle Airport","SVCS_Clarion Hotel Seattle Airport","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","LATTIGO-BASE","1","0.00","0.0","Lattigo Management Portal - basic","PLAT_SVC--Platform Services","41110"
"67072961-760214:COAST CONTROL","C-0253","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Coast Controls and Automation, Inc","SVCS_Coast Controls and Automation, Inc","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","LATTIGO-BASE","1","0.00","0.0","Lattigo Management Portal - basic","PLAT_SVC--Platform Services","41110"
"55736293-713867:COMFORT FLOW","C-0259","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Comfort Flow Heating","SVCS_Comfort Flow Heating","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","LATTIGO-BASE","1","0.00","0.0","Lattigo Management Portal - basic","PLAT_SVC--Platform Services","41110"
"42347807-562364:COMMUNITYBANK","C-0260","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Community Bank","SVCS_Community Bank","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW 10 GB MRC","2.0","65.00","130.0","Public Network: 2020/06/01 - 2020/06/30","VZW_742006538_PUB--Verizon Public","41102"
"42347807-562364:COMMUNITYBANK","C-0260","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Community Bank","SVCS_Community Bank","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW SMS","2","0.25","0.5","Public Network: 2020/06/01 - 2020/06/30","VZW_742006538_PUB--Verizon Public","41106"
"42347807-562364:COMMUNITYBANK","C-0260","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Community Bank","SVCS_Community Bank","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW SCHG-FEE","1","0.358","0.358","Public Network: 2020/06/01 - 2020/06/30","VZW_742006538_PUB--Verizon Public","41104"
"42347807-562364:COMMUNITYBANK","C-0260","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Community Bank","SVCS_Community Bank","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","LATTIGO-BASE","1","0.00","0.0","Lattigo Management Portal - basic","PLAT_SVC--Platform Services","41110"
"57162855-122302:CROWNMOTORS","C-0296","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Crown Motors","SVCS_Crown Motors","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW 1 GB MRC","1.0","25.00","25.0","Public Network: 2020/06/01 - 2020/06/30","VZW_742006538_PUB--Verizon Public","41102"
